,APE,PE,SAPE
count,64192.0,64192.0,64192.0
mean,11.056960105895996,-6.526816368103027,14.337468147277832
std,21.32815170288086,23.12035369873047,30.39657211303711
min,3.853229645756073e-05,-99.72702026367188,3.853230009553954e-05
25%,1.0781291723251343,-5.882079243659973,1.0795278251171112
50%,3.0773950815200806,-0.21179167926311493,3.06769061088562
75%,10.231905460357666,2.0165733098983765,10.264365673065186
max,1836.337646484375,1836.337646484375,198.9110565185547
median,3.077394962310791,-0.21179167926311493,3.06769061088562
skew,14.31217098236084,8.47616958618164,3.208592176437378
