,APE,PE,SAPE
count,63456.0,63456.0,63456.0
mean,11.11288070678711,-6.648177623748779,14.33788776397705
std,19.250598907470703,21.210527420043945,29.57684898376465
min,0.00011889965389855206,-99.69893646240234,0.00011889958113897592
25%,1.1821003556251526,-5.870554447174072,1.1813877522945404
50%,3.2404515743255615,-0.3372143656015396,3.2321252822875977
75%,10.501320123672485,2.074394464492798,10.50505256652832
max,319.8186340332031,319.8186340332031,198.7993621826172
median,3.2404515743255615,-0.3372143507003784,3.2321252822875977
skew,2.830994129180908,-1.6332590579986572,3.1381072998046875
