,APE,PE,SAPE
count,62976.0,62976.0,62976.0
mean,11.73232650756836,-6.275290489196777,15.029927253723145
std,23.03370475769043,25.07625961303711,30.54841423034668
min,7.144583651097491e-05,-99.7930908203125,7.144580740714446e-05
25%,1.4572298526763916,-6.518990635871887,1.456678330898285
50%,4.091970682144165,-0.21613121032714844,4.073282957077026
75%,11.053050994873047,2.8242366313934326,11.12202262878418
max,2990.619140625,2990.619140625,199.17405700683594
median,4.091970443725586,-0.21613121032714844,4.0732831954956055
skew,36.31330108642578,26.233375549316406,3.196920871734619
